D-362004	Migration & Integration	Integrationsförderung & gesellschaftliche Teilhabe	grenzfall
D-362007	Stadtentwicklung, Bauen & Wohnen	Sozialer & landeseigener Wohnungsbau	falsch
D-362007	Umwelt, Klima & Energie	Erneuerbare Energien & Solar	korrekt
D-362100	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	grenzfall
D-362100	Bildung & Wissenschaft	Schulplätze, Schulbau & Sanierung	korrekt
D-362103	Gesundheit & Pflege	Öffentlicher Gesundheitsdienst & Prävention	korrekt
D-362103	Umwelt, Klima & Energie	Klimaschutz & Klimaanpassung	korrekt
D-362106	Bezirksbezug	Lokale Einzelvorhaben & Standortfragen	korrekt
D-362106	Bildung & Wissenschaft	Schulplätze, Schulbau & Sanierung	korrekt
D-362106	Stadtentwicklung, Bauen & Wohnen	Bauleitplanung & Bebauungspläne	grenzfall
D-362109	Bildung & Wissenschaft	Unterricht, Qualität & Abschlüsse	korrekt
D-362202	Umwelt, Klima & Energie	Energieversorgung & Wärmewende	korrekt
D-362202	Verwaltung & Digitales	Verwaltungsorganisation & Zuständigkeiten	falsch
D-362205	Bezirksbezug	Senat–Bezirk: Zuständigkeit & Steuerung	korrekt
D-362205	Transparenz & Open Data	Informationsfreiheit & Aktenzugang	grenzfall
D-362208	Soziales, Arbeit & Familie	Arbeitsmarkt, Ausbildung & Fachkräfte	grenzfall
D-362208	Stadtentwicklung, Bauen & Wohnen	Landeseigene Liegenschaften & Grundstückspolitik	grenzfall
D-362301	Bildung & Wissenschaft	Hochschulen & Wissenschaft	korrekt
D-362301	Finanzen & Haushalt	Landesbeteiligungen & landeseigene Unternehmen	falsch
D-362307	Finanzen & Haushalt	Landeshaushalt & Haushaltsführung	korrekt
D-362307	Verwaltung & Digitales	Personal & Beschäftigte im öffentlichen Dienst	korrekt
D-362402	Demokratie & Teilhabe	Bürgerbeteiligung & Mitbestimmung	falsch
D-362402	Migration & Integration	Integrationsförderung & gesellschaftliche Teilhabe	korrekt
